title,studio,domestic_gross,foreign_gross,year
toy story 3,BV,415000000.0,652000000.0,2010
alice in wonderland 2010,BV,334200000.0,691300000.0,2010
harry potter and the deathly hallows part 1,WB,296000000.0,664300000.0,2010
inception,WB,292600000.0,535700000.0,2010
shrek forever after,P/DW,238700000.0,513900000.0,2010
the twilight saga eclipse,Sum.,300500000.0,398000000.0,2010
iron man 2,Par.,312400000.0,311500000.0,2010
tangled,BV,200800000.0,391000000.0,2010
despicable me,Uni.,251500000.0,291600000.0,2010
how to train your dragon,P/DW,217600000.0,277300000.0,2010
clash of the titans 2010,WB,163200000.0,330000000.0,2010
the chronicles of narnia the voyage of the dawn treader,Fox,104400000.0,311300000.0,2010
the kings speech,Wein.,135500000.0,275400000.0,2010
tron legacy,BV,172100000.0,228000000.0,2010
the karate kid,Sony,176600000.0,182500000.0,2010
prince of persia the sands of time,BV,90800000.0,245600000.0,2010
black swan,FoxS,107000000.0,222400000.0,2010
megamind,P/DW,148400000.0,173500000.0,2010
robin hood,Uni.,105300000.0,216400000.0,2010
the last airbender,Par.,131800000.0,187900000.0,2010
little fockers,Uni.,148400000.0,162200000.0,2010
resident evil afterlife,SGem,60100000.0,240100000.0,2010
shutter island,Par.,128000000.0,166800000.0,2010
salt,Sony,118300000.0,175200000.0,2010
sex and the city 2,WB (NL),95300000.0,193000000.0,2010
the tourist,Sony,67600000.0,210700000.0,2010
the expendables,LGF,103100000.0,171400000.0,2010
grown ups,Sony,162000000.0,109400000.0,2010
knight day,Fox,76400000.0,185500000.0,2010
true grit,Par.,171200000.0,81000000.0,2010
gullivers travels,Fox,42800000.0,194600000.0,2010
percy jackson the olympians the lightning thief,Fox,88800000.0,137700000.0,2010
the social network,Sony,97000000.0,128000000.0,2010
valentines day,WB (NL),110500000.0,106000000.0,2010
the sorcerers apprentice,BV,63200000.0,152100000.0,2010
due date,WB,100500000.0,111200000.0,2010
eat pray love,Sony,80600000.0,124000000.0,2010
yogi bear,WB,100200000.0,101300000.0,2010
red,Sum.,90400000.0,108600000.0,2010
paranormal activity 2,Par.,84800000.0,92800000.0,2010
the ateam,Fox,77200000.0,100000000.0,2010
jackass 3d,Par.,117200000.0,54500000.0,2010
the other guys,Sony,119200000.0,51200000.0,2010
unstoppable,Fox,81600000.0,86200000.0,2010
step up 3d,BV,42400000.0,116900000.0,2010
the book of eli,WB,94800000.0,62300000.0,2010
the town,WB,92200000.0,61800000.0,2010
date night,Fox,98700000.0,53600000.0,2010
legend of the guardians the owls of gahoole,WB,55700000.0,84400000.0,2010
the wolfman,Uni.,62000000.0,77800000.0,2010
the bounty hunter,Sony,67099999.0,69300000.0,2010
saw 3d,LGF,45700000.0,90400000.0,2010
wall street money never sleeps,Fox,52500000.0,82300000.0,2010
the fighter,Par.,93600000.0,35600000.0,2010
predators,Fox,52000000.0,75200000.0,2010
a nightmare on elm street 2010,WB (NL),63100000.0,52600000.0,2010
dear john,SGem,80000000.0,35000000.0,2010
cats dogs the revenge of kitty galore,WB,43600000.0,68900000.0,2010
tooth fairy,Fox,60000000.0,52400000.0,2010
life as we know it,WB,53400000.0,52300000.0,2010
hereafter,WB,32700000.0,72500000.0,2010
the girl with the dragon tattoo,MBox,10100000.0,94300000.0,2010
love and other drugs,Fox,32400000.0,70500000.0,2010
aftershock tangshan dadizhen,CL,63000.0,100200000.0,2010
killers,LGF,47100000.0,51100000.0,2010
kickass,LGF,48100000.0,48100000.0,2010
green zone,Uni.,35100000.0,59800000.0,2010
nanny mcphee returns,Uni.,29000000.0,64200000.0,2010
get him to the greek,Uni.,61000000.0,30300000.0,2010
burlesque,SGem,39400000.0,50100000.0,2010
the last song,BV,63000000.0,26100000.0,2010
dinner for schmucks,P/DW,73000000.0,13800000.0,2010
marmaduke,Fox,33600000.0,50100000.0,2010
piranha 3d,W/Dim.,25000000.0,58200000.0,2010
oceans,BV,19400000.0,63200000.0,2010
edge of darkness,WB,43300000.0,37800000.0,2010
vampires suck,Fox,36700000.0,43900000.0,2010
letters to juliet,Sum.,53000000.0,26100000.0,2010
the backup plan,CBS,37500000.0,40000000.0,2010
if you are the one 2 fei cheng wu rao ii,CL,427000.0,75600000.0,2010
diary of a wimpy kid,Fox,64000000.0,11700000.0,2010
easy a,SGem,58400000.0,16600000.0,2010
hubble 3d,WB,52400000.0,21500000.0,2010
takers,SGem,57700000.0,11300000.0,2010
tales from earthsea,BV,48500.0,68600000.0,2010
legion 2010,SGem,40200000.0,27800000.0,2010
the american,Focus,35600000.0,32299999.0,2010
the last exorcism,LGF,41000000.0,26700000.0,2010
the next three days,LGF,21100000.0,46300000.0,2010
the girl who played with fire,MBox,7600000.0,59500000.0,2010
skyline,Uni.,21400000.0,45400000.0,2010
hot tub time machine,MGM,50300000.0,14300000.0,2010
devil,Uni.,33600000.0,29100000.0,2010
127 hours,FoxS,18300000.0,42400000.0,2010
tyler perrys why did i get married too,LGF,60100000.0,578000.0,2010
secretariat,BV,59700000.0,537000.0,2010
the ghost writer,Sum.,15500000.0,44700000.0,2010
morning glory,Par.,31000000.0,29000000.0,2010
remember me,Sum.,19100000.0,37000000.0,2010
cop out,WB,44900000.0,10700000.0,2010
the crazies,Over.,39100000.0,15700000.0,2010
from paris with love,LGF,24100000.0,28700000.0,2010
daybreakers,LGF,30100000.0,21300000.0,2010
alpha and omega,LGF,25100000.0,25400000.0,2010
the switch,Mira.,27800000.0,22100000.0,2010
shes out of my league,Par.,32000000.0,17800000.0,2010
death at a funeral 2010,SGem,42700000.0,6300000.0,2010
how do you know,Sony,30200000.0,18500000.0,2010
charlie st cloud,Uni.,31200000.0,17000000.0,2010
scott pilgrim vs the world,Uni.,31500000.0,16100000.0,2010
heartbreaker,IFC,504000.0,46900000.0,2010
the spy next door,LGF,24300000.0,20900000.0,2010
the good the bad the weird,IFC,128000.0,44100000.0,2010
machete,Fox,26600000.0,17500000.0,2010
the girl who kicked the hornets nest,MBox,5200000.0,38300000.0,2010
the man from nowhere,CJ,528000.0,42500000.0,2010
when in rome,BV,32700000.0,10400000.0,2010
my name is khan,FoxS,4000000.0,38300000.0,2010
going the distance,WB (NL),17800000.0,24200000.0,2010
the concert,Wein.,658000.0,40500000.0,2010
agora,NM,619000.0,38400000.0,2010
for colored girls,LGF,37700000.0,17300.0,2010
brooklyns finest,Over.,27200000.0,9300000.0,2010
furry vengeance,Sum.,17600000.0,18600000.0,2010
faster,CBS,23200000.0,12400000.0,2010
the kids are all right,Focus,20800000.0,13900000.0,2010
you will meet a tall dark stranger,SPC,3200000.0,31000000.0,2010
the secret in their eyes,SPC,6400000.0,27600000.0,2010
avatar special edition,Fox,10700000.0,22500000.0,2010
leap year,Uni.,25900000.0,6700000.0,2010
you again,BV,25700000.0,6300000.0,2010
mesrine killer instinct,MBox,552000.0,30500000.0,2010
the losers,WB,23600000.0,5800000.0,2010
case 39,ParV,13300000.0,14900000.0,2010
ramona and beezus,Fox,26200000.0,1100000.0,2010
splice,WB,17000000.0,9800000.0,2010
fair game 2010,Sum.,9500000.0,14600000.0,2010
let me in,Over.,12100000.0,12000000.0,2010
maos last dancer,Gold.,4800000.0,17500000.0,2010
just wright,FoxS,21500000.0,29900.0,2010
our family wedding,FoxS,20300000.0,1200000.0,2010
my soul to take,Uni.,14700000.0,6200000.0,2010
71 into the fire,JS,177000.0,20800000.0,2010
i love you phillip morris,RAtt.,2000000.0,18700000.0,2010
country strong,SGem,20200000.0,310000.0,2010
another year,SPC,3200000.0,16500000.0,2010
youth in revolt,W/Dim.,15300000.0,4400000.0,2010
buried,LGF,1000000.0,18100000.0,2010
rec 2,Magn.,27800.0,18500000.0,2010
repo men,Uni.,13800000.0,4600000.0,2010
a prophet un prophète,SPC,2100000.0,15800000.0,2010
soul kitchen,IFC,277000.0,17600000.0,2010
mother 2010,Magn.,552000.0,16600000.0,2010
micmacs,SPC,1300000.0,15100000.0,2010
the nutcracker in 3d,Free,195000.0,16000000.0,2010
sea rex 3d journey to a prehistoric world,3D,6100000.0,9900000.0,2010
i hate luv storys,UTV,848000.0,14900000.0,2010
extraordinary measures,CBS,12100000.0,3100000.0,2010
somewhere,Focus,1800000.0,12200000.0,2010
winters bone,RAtt.,6500000.0,7300000.0,2010
the last station,SPC,6600000.0,6900000.0,2010
raajneeti,UTV,1500000.0,11100000.0,2010
made in dagenham,SPC,1100000.0,11300000.0,2010
blue valentine,Wein.,9700000.0,2600000.0,2010
tamara drewe,SPC,560000.0,11400000.0,2010
chloe,SPC,3100000.0,8600000.0,2010
looking for eric,IFC,55800.0,11500000.0,2010
the warriors way,Rela.,5700000.0,5400000.0,2010
i am love,Magn.,5000000.0,5900000.0,2010
jonah hex,WB,10500000.0,356000.0,2010
harry brown,Gold.,1800000.0,8500000.0,2010
cyrus,FoxS,7500000.0,2500000.0,2010
conviction,FoxS,6800000.0,2900000.0,2010
get low,SPC,9200000.0,518000.0,2010
babies,Focus,7300000.0,2200000.0,2010
stone,Over.,1800000.0,7700000.0,2010
peepli live,UTV,758000.0,8700000.0,2010
never let me go,FoxS,2400000.0,7000000.0,2010
midaugust lunch,Zeit.,675000.0,8700000.0,2010
macgruber,Uni.,8500000.0,797000.0,2010
city island,Anch.,6700000.0,1200000.0,2010
inside job,SPC,4300000.0,3600000.0,2010
the joneses,RAtt.,1500000.0,5500000.0,2010
centurion,Magn.,124000.0,6700000.0,2010
animal kingdom,SPC,1000000.0,5700000.0,2010
nowhere boy,Wein.,1500000.0,5100000.0,2010
its kind of a funny story,Focus,6400000.0,128000.0,2010
waiting for superman,ParV,6400000.0,9300.0,2010
greenberg,Focus,4200000.0,1900000.0,2010
