title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,movie,production_budget,domestic_gross,worldwide_gross,vote_average
toy story 3,BV,652000000.0,2010,en,24.445,2010-06-17,8340,toy story 3,200000000.0,415004880.0,1068879522.0,7.7
inception,WB,535700000.0,2010,en,27.92,2010-07-16,22186,inception,160000000.0,292576195.0,835524642.0,8.3
shrek forever after,P/DW,513900000.0,2010,en,15.041,2010-05-16,3843,shrek forever after,165000000.0,238736787.0,756244673.0,6.1
the twilight saga eclipse,Sum.,398000000.0,2010,en,20.34,2010-06-23,4909,the twilight saga eclipse,68000000.0,300531751.0,706102828.0,6.0
iron man 2,Par.,311500000.0,2010,en,28.515,2010-05-07,12368,iron man 2,170000000.0,312433331.0,621156389.0,6.8
tangled,BV,391000000.0,2010,en,21.511,2010-11-24,6407,tangled,260000000.0,200821936.0,586477240.0,7.5
despicable me,Uni.,291600000.0,2010,en,23.673,2010-07-09,10057,despicable me,69000000.0,251513985.0,543464573.0,7.2
how to train your dragon,P/DW,277300000.0,2010,en,28.734,2010-03-26,7610,how to train your dragon,165000000.0,217581232.0,494870992.0,7.7
the chronicles of narnia the voyage of the dawn treader,Fox,311300000.0,2010,en,17.382,2010-12-10,3196,the chronicles of narnia the voyage of the dawn treader,155000000.0,104386950.0,418186950.0,6.3
tron legacy,BV,228000000.0,2010,en,13.459,2010-12-10,4387,tron legacy,200000000.0,172062763.0,400062763.0,6.3
the karate kid,Sony,182500000.0,2010,en,12.256,2010-06-10,3140,the karate kid,40000000.0,176591618.0,351774938.0,6.3
black swan,FoxS,222400000.0,2010,en,13.745,2010-12-03,8374,black swan,13000000.0,106954678.0,331266710.0,7.6
megamind,P/DW,173500000.0,2010,en,22.855,2010-11-04,3635,megamind,130000000.0,148415853.0,321887208.0,6.8
robin hood,Uni.,216400000.0,2010,en,15.444,2010-05-14,2569,robin hood,210000000.0,105487148.0,322459006.0,6.3
the last airbender,Par.,187900000.0,2010,en,16.595,2010-07-01,2143,the last airbender,150000000.0,131772187.0,319713881.0,4.6
little fockers,Uni.,162200000.0,2010,en,12.153,2010-12-21,1883,little fockers,100000000.0,148438600.0,310650574.0,5.6
resident evil afterlife,SGem,240100000.0,2010,en,0.667,2010-09-10,2119,resident evil afterlife,57500000.0,60128566.0,295874190.0,5.9
shutter island,Par.,166800000.0,2010,en,18.06,2010-02-18,12625,shutter island,80000000.0,128012934.0,299461782.0,8.1
salt,Sony,175200000.0,2010,en,13.025,2010-07-23,3240,salt,130000000.0,118311368.0,290650494.0,6.3
sex and the city 2,WB (NL),193000000.0,2010,en,9.986,2010-05-27,809,sex and the city 2,95000000.0,95347692.0,294680778.0,5.9
the tourist,Sony,210700000.0,2010,en,10.307,2010-12-10,3133,the tourist,100000000.0,67631157.0,278731369.0,6.1
the expendables,LGF,171400000.0,2010,en,21.517,2010-08-03,4647,the expendables,82000000.0,103068524.0,268268174.0,6.1
grown ups,Sony,109400000.0,2010,en,14.291,2010-06-24,3171,grown ups,75000000.0,162001186.0,272223430.0,6.1
true grit,Par.,81000000.0,2010,en,13.118,2010-12-22,2816,true grit,35000000.0,171243005.0,252276928.0,7.2
gullivers travels,Fox,194600000.0,2010,en,10.768,2010-12-25,1282,gullivers travels,112000000.0,42779261.0,232017848.0,5.1
percy jackson the olympians the lightning thief,Fox,137700000.0,2010,en,26.691,2010-02-11,4229,percy jackson the olympians the lightning thief,95000000.0,88768303.0,223050874.0,6.1
the social network,Sony,128000000.0,2010,en,15.889,2010-10-01,6116,the social network,40000000.0,96962694.0,224922135.0,7.2
valentines day,WB (NL),106000000.0,2010,en,11.187,2010-02-11,1907,valentines day,52000000.0,110485654.0,217569328.0,5.8
the sorcerers apprentice,BV,152100000.0,2010,en,14.463,2010-07-13,2879,the sorcerers apprentice,160000000.0,63150991.0,217986320.0,5.9
due date,WB,111200000.0,2010,en,12.445,2010-11-04,2973,due date,65000000.0,100539043.0,211739043.0,6.3
eat pray love,Sony,124000000.0,2010,en,9.991,2010-08-12,1208,eat pray love,60000000.0,80574010.0,206598789.0,6.0
yogi bear,WB,101300000.0,2010,en,9.096,2010-12-17,387,yogi bear,80000000.0,100246011.0,204774690.0,5.3
red,Sum.,108600000.0,2010,en,12.082,2010-10-14,4162,red,60000000.0,90380162.0,196439693.0,6.6
paranormal activity 2,Par.,92800000.0,2010,en,8.163,2010-10-21,1342,paranormal activity 2,3000000.0,84752907.0,177512032.0,5.7
the ateam,Fox,100000000.0,2010,en,17.097,2010-06-11,2703,the ateam,110000000.0,77222099.0,177241171.0,6.3
jackass 3d,Par.,54500000.0,2010,en,10.715,2010-10-15,655,jackass 3d,20000000.0,117229692.0,171685793.0,6.3
the other guys,Sony,51200000.0,2010,en,13.508,2010-08-06,2187,the other guys,100000000.0,119219978.0,170936470.0,6.2
unstoppable,Fox,86200000.0,2010,en,14.01,2010-11-12,1913,unstoppable,95000000.0,81562942.0,165720921.0,6.4
step up 3d,BV,116900000.0,2010,en,17.174,2010-08-06,1160,step up 3d,30000000.0,42400223.0,165889117.0,6.7
the book of eli,WB,62300000.0,2010,en,18.985,2010-01-11,3495,the book of eli,80000000.0,94835059.0,158750817.0,6.7
the town,WB,61800000.0,2010,en,13.476,2010-09-17,2386,the town,37000000.0,92186262.0,152566881.0,7.1
date night,Fox,53600000.0,2010,en,12.498,2010-04-08,1743,date night,55000000.0,98711404.0,152269033.0,6.0
legend of the guardians the owls of gahoole,WB,84400000.0,2010,en,10.754,2010-09-24,1223,legend of the guardians the owls of gahoole,100000000.0,55675313.0,139716717.0,6.6
