title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,production_budget,domestic_gross,worldwide_gross,vote_average,start_year,runtime_minutes,genres,averagerating,numvotes,profit,profit_margin,release_month,release_month_name,release_quarter
toy story 3,BV,652000000.0,2010,en,24.445,2010-06-17,8340,200000000.0,415004880.0,1068879522.0,7.7,2010,103.0,"Adventure,Animation,Comedy",8.3,682218,868879522.0,4.34439761,6,June,2
inception,WB,535700000.0,2010,en,27.92,2010-07-16,22186,160000000.0,292576195.0,835524642.0,8.3,2010,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,675524642.0,4.2220290125,7,July,3
shrek forever after,P/DW,513900000.0,2010,en,15.041,2010-05-16,3843,165000000.0,238736787.0,756244673.0,6.1,2010,93.0,"Adventure,Animation,Comedy",6.3,167532,591244673.0,3.5833010484848486,5,May,2
the twilight saga eclipse,Sum.,398000000.0,2010,en,20.34,2010-06-23,4909,68000000.0,300531751.0,706102828.0,6.0,2010,124.0,"Adventure,Drama,Fantasy",5.0,211733,638102828.0,9.383865117647058,6,June,2
iron man 2,Par.,311500000.0,2010,en,28.515,2010-05-07,12368,170000000.0,312433331.0,621156389.0,6.8,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690,451156389.0,2.653861111764706,5,May,2
tangled,BV,391000000.0,2010,en,21.511,2010-11-24,6407,260000000.0,200821936.0,586477240.0,7.5,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,326477240.0,1.2556816923076923,11,November,4
despicable me,Uni.,291600000.0,2010,en,23.673,2010-07-09,10057,69000000.0,251513985.0,543464573.0,7.2,2010,95.0,"Animation,Comedy,Family",7.7,464511,474464573.0,6.87629815942029,7,July,3
how to train your dragon,P/DW,277300000.0,2010,en,28.734,2010-03-26,7610,165000000.0,217581232.0,494870992.0,7.7,2010,98.0,"Action,Adventure,Animation",8.1,611299,329870992.0,1.9992181333333334,3,March,1
the chronicles of narnia the voyage of the dawn treader,Fox,311300000.0,2010,en,17.382,2010-12-10,3196,155000000.0,104386950.0,418186950.0,6.3,2010,113.0,"Adventure,Family,Fantasy",6.3,129663,263186950.0,1.6979803225806451,12,December,4
tron legacy,BV,228000000.0,2010,en,13.459,2010-12-10,4387,200000000.0,172062763.0,400062763.0,6.3,2010,125.0,"Action,Adventure,Fantasy",6.8,296211,200062763.0,1.000313815,12,December,4
the karate kid,Sony,182500000.0,2010,en,12.256,2010-06-10,3140,40000000.0,176591618.0,351774938.0,6.3,2010,140.0,"Action,Drama,Family",6.2,146401,311774938.0,7.79437345,6,June,2
black swan,FoxS,222400000.0,2010,en,13.745,2010-12-03,8374,13000000.0,106954678.0,331266710.0,7.6,2010,108.0,"Drama,Thriller",8.0,648854,318266710.0,24.482054615384616,12,December,4
megamind,P/DW,173500000.0,2010,en,22.855,2010-11-04,3635,130000000.0,148415853.0,321887208.0,6.8,2010,95.0,"Action,Animation,Comedy",7.3,207488,191887208.0,1.4760554461538462,11,November,4
robin hood,Uni.,216400000.0,2010,en,15.444,2010-05-14,2569,210000000.0,105487148.0,322459006.0,6.3,2010,140.0,"Action,Adventure,Drama",6.6,239480,112459006.0,0.5355190761904762,5,May,2
robin hood,Uni.,216400000.0,2010,en,15.444,2010-05-14,2569,210000000.0,105487148.0,322459006.0,6.3,2013,92.0,"Action,Drama",6.3,78,112459006.0,0.5355190761904762,5,May,2
robin hood,Uni.,216400000.0,2010,en,15.444,2010-05-14,2569,210000000.0,105487148.0,322459006.0,6.3,2018,116.0,"Action,Adventure,Thriller",5.3,41588,112459006.0,0.5355190761904762,5,May,2
the last airbender,Par.,187900000.0,2010,en,16.595,2010-07-01,2143,150000000.0,131772187.0,319713881.0,4.6,2010,103.0,"Action,Adventure,Family",4.1,137734,169713881.0,1.1314258733333333,7,July,3
little fockers,Uni.,162200000.0,2010,en,12.153,2010-12-21,1883,100000000.0,148438600.0,310650574.0,5.6,2010,98.0,"Comedy,Romance",5.5,99222,210650574.0,2.10650574,12,December,4
resident evil afterlife,SGem,240100000.0,2010,en,0.667,2010-09-10,2119,57500000.0,60128566.0,295874190.0,5.9,2010,96.0,"Action,Adventure,Horror",5.9,153270,238374190.0,4.145638086956522,9,September,3
shutter island,Par.,166800000.0,2010,en,18.06,2010-02-18,12625,80000000.0,128012934.0,299461782.0,8.1,2010,138.0,"Mystery,Thriller",8.1,1005960,219461782.0,2.743272275,2,February,1
salt,Sony,175200000.0,2010,en,13.025,2010-07-23,3240,130000000.0,118311368.0,290650494.0,6.3,2010,100.0,"Action,Mystery,Thriller",6.4,277204,160650494.0,1.2357730307692307,7,July,3
sex and the city 2,WB (NL),193000000.0,2010,en,9.986,2010-05-27,809,95000000.0,95347692.0,294680778.0,5.9,2010,146.0,"Comedy,Drama,Romance",4.4,69199,199680778.0,2.1019029263157893,5,May,2
the tourist,Sony,210700000.0,2010,en,10.307,2010-12-10,3133,100000000.0,67631157.0,278731369.0,6.1,2010,103.0,"Action,Adventure,Thriller",6.0,206714,178731369.0,1.78731369,12,December,4
the expendables,LGF,171400000.0,2010,en,21.517,2010-08-03,4647,82000000.0,103068524.0,268268174.0,6.1,2010,103.0,"Action,Adventure,Thriller",6.5,307897,186268174.0,2.2715630975609757,8,August,3
grown ups,Sony,109400000.0,2010,en,14.291,2010-06-24,3171,75000000.0,162001186.0,272223430.0,6.1,2010,102.0,Comedy,6.0,210377,197223430.0,2.629645733333333,6,June,2
true grit,Par.,81000000.0,2010,en,13.118,2010-12-22,2816,35000000.0,171243005.0,252276928.0,7.2,2010,110.0,"Adventure,Drama,Western",7.6,284034,217276928.0,6.207912228571429,12,December,4
gullivers travels,Fox,194600000.0,2010,en,10.768,2010-12-25,1282,112000000.0,42779261.0,232017848.0,5.1,2010,85.0,"Adventure,Comedy,Family",4.9,61178,120017848.0,1.0715879285714285,12,December,4
percy jackson the olympians the lightning thief,Fox,137700000.0,2010,en,26.691,2010-02-11,4229,95000000.0,88768303.0,223050874.0,6.1,2010,118.0,"Adventure,Family,Fantasy",5.9,165108,128050874.0,1.3479039368421053,2,February,1
the social network,Sony,128000000.0,2010,en,15.889,2010-10-01,6116,40000000.0,96962694.0,224922135.0,7.2,2010,120.0,"Biography,Drama",7.7,568578,184922135.0,4.623053375,10,October,4
valentines day,WB (NL),106000000.0,2010,en,11.187,2010-02-11,1907,52000000.0,110485654.0,217569328.0,5.8,2010,125.0,"Comedy,Romance",5.7,107171,165569328.0,3.1840255384615386,2,February,1
the sorcerers apprentice,BV,152100000.0,2010,en,14.463,2010-07-13,2879,160000000.0,63150991.0,217986320.0,5.9,2010,109.0,"Action,Adventure,Family",6.1,143862,57986320.0,0.3624145,7,July,3
due date,WB,111200000.0,2010,en,12.445,2010-11-04,2973,65000000.0,100539043.0,211739043.0,6.3,2010,95.0,"Adventure,Comedy",6.5,303523,146739043.0,2.2575237384615385,11,November,4
eat pray love,Sony,124000000.0,2010,en,9.991,2010-08-12,1208,60000000.0,80574010.0,206598789.0,6.0,2010,133.0,"Drama,Romance",5.8,77709,146598789.0,2.44331315,8,August,3
yogi bear,WB,101300000.0,2010,en,9.096,2010-12-17,387,80000000.0,100246011.0,204774690.0,5.3,2010,80.0,"Adventure,Animation,Comedy",4.6,18934,124774690.0,1.559683625,12,December,4
red,Sum.,108600000.0,2010,en,12.082,2010-10-14,4162,60000000.0,90380162.0,196439693.0,6.6,2010,111.0,"Action,Comedy,Crime",7.1,271570,136439693.0,2.273994883333333,10,October,4
red,Sum.,108600000.0,2010,en,12.082,2010-10-14,4162,60000000.0,90380162.0,196439693.0,6.6,2013,67.0,Documentary,7.0,113,136439693.0,2.273994883333333,10,October,4
red,Sum.,108600000.0,2010,en,12.082,2010-10-14,4162,60000000.0,90380162.0,196439693.0,6.6,2014,107.0,Drama,8.4,8,136439693.0,2.273994883333333,10,October,4
red,Sum.,108600000.0,2010,en,12.082,2010-10-14,4162,60000000.0,90380162.0,196439693.0,6.6,2018,90.0,Drama,8.1,26,136439693.0,2.273994883333333,10,October,4
paranormal activity 2,Par.,92800000.0,2010,en,8.163,2010-10-21,1342,3000000.0,84752907.0,177512032.0,5.7,2010,91.0,Horror,5.7,93122,174512032.0,58.17067733333333,10,October,4
the ateam,Fox,100000000.0,2010,en,17.097,2010-06-11,2703,110000000.0,77222099.0,177241171.0,6.3,2010,117.0,"Action,Adventure,Thriller",6.8,235256,67241171.0,0.6112833727272727,6,June,2
jackass 3d,Par.,54500000.0,2010,en,10.715,2010-10-15,655,20000000.0,117229692.0,171685793.0,6.3,2010,95.0,"Action,Comedy,Documentary",7.0,53289,151685793.0,7.58428965,10,October,4
the other guys,Sony,51200000.0,2010,en,13.508,2010-08-06,2187,100000000.0,119219978.0,170936470.0,6.2,2010,107.0,"Action,Comedy,Crime",6.7,221664,70936470.0,0.7093647,8,August,3
