id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,harry potter and the deathly hallows part 1,7.7,10788
10191,en,How to Train Your Dragon,28.734,2010-03-26,how to train your dragon,7.7,7610
10138,en,Iron Man 2,28.515,2010-05-07,iron man 2,6.8,12368
862,en,Toy Story,28.005,1995-11-22,toy story,7.9,10174
27205,en,Inception,27.92,2010-07-16,inception,8.3,22186
32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,percy jackson the olympians the lightning thief,6.1,4229
19995,en,Avatar,26.526,2009-12-18,avatar,7.4,18676
10193,en,Toy Story 3,24.445,2010-06-17,toy story 3,7.7,8340
20352,en,Despicable Me,23.673,2010-07-09,despicable me,7.2,10057
38055,en,Megamind,22.855,2010-11-04,megamind,6.8,3635
863,en,Toy Story 2,22.698,1999-11-24,toy story 2,7.5,7553
12155,en,Alice in Wonderland,22.02,2010-03-05,alice in wonderland,6.6,8713
27578,en,The Expendables,21.517,2010-08-03,the expendables,6.1,4647
38757,en,Tangled,21.511,2010-11-24,tangled,7.5,6407
41439,en,Saw 3D,20.37,2010-10-28,saw the final chapter,6.0,1488
24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,the twilight saga eclipse,6.0,4909
20504,en,The Book of Eli,18.985,2010-01-11,the book of eli,6.7,3495
52371,nl,LelleBelle,18.586,2010-10-09,lellebelle,4.5,36
2502,en,The Bourne Supremacy,18.199,2004-07-23,the bourne supremacy,7.3,4367
11324,en,Shutter Island,18.06,2010-02-18,shutter island,8.1,12625
2501,en,The Bourne Identity,17.935,2002-06-14,the bourne identity,7.4,5406
37834,en,Knight and Day,17.713,2010-06-23,knight and day,6.0,2494
10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,the chronicles of narnia the voyage of the dawn treader,6.3,3196
41233,en,Step Up 3D,17.174,2010-08-06,step up 3d,6.7,1160
34544,en,The A-Team,17.097,2010-06-11,the ateam,6.3,2703
45269,en,The King's Speech,16.798,2010-09-06,the kings speech,7.7,5013
9737,en,Bad Boys,16.608,1995-04-07,bad boys,6.6,2936
10196,en,The Last Airbender,16.595,2010-07-01,the last airbender,4.6,2143
34851,en,Predators,16.216,2010-07-03,predators,6.1,1979
37799,en,The Social Network,15.889,2010-10-01,the social network,7.2,6116
38234,en,Undisputed III: Redemption,15.886,2010-05-22,undisputed iii redemption,7.4,302
568,en,Apollo 13,15.855,1995-06-30,apollo 13,7.4,2821
95,en,Armageddon,15.799,1998-07-01,armageddon,6.7,4267
2503,en,The Bourne Ultimatum,15.62,2007-08-03,the bourne ultimatum,7.4,4440
18823,en,Clash of the Titans,15.574,2010-04-02,clash of the titans,5.7,3714
34806,en,The Back-Up Plan,15.49,2010-04-23,the backup plan,6.0,806
20662,en,Robin Hood,15.444,2010-05-14,robin hood,6.3,2569
35019,en,Nanny McPhee and the Big Bang,15.213,2010-08-20,nanny mcphee and the big bang,6.1,953
10192,en,Shrek Forever After,15.041,2010-05-16,shrek forever after,6.1,3843
37735,en,Easy A,14.69,2010-09-17,easy a,6.8,4168
27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,the sorcerers apprentice,5.9,2879
22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,scott pilgrim vs the world,7.3,3882
38365,en,Grown Ups,14.291,2010-06-24,grown ups,6.1,3171
239,en,Some Like It Hot,14.2,1959-03-18,some like it hot,8.2,1562
41283,en,Faster,14.172,2010-11-23,faster,6.2,895
7978,en,The Wolfman,14.03,2010-02-12,the wolfman,5.7,1009
44048,en,Unstoppable,14.01,2010-11-12,unstoppable,6.4,1913
44214,en,Black Swan,13.745,2010-12-03,black swan,7.6,8374
44683,en,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,tinker bell and the great fairy rescue,6.5,451
61979,es,Tres metros sobre el cielo,13.721,2010-12-20,three steps above heaven,7.5,960
23759,en,Centurion,13.548,2010-02-15,centurion,6.1,673
27581,en,The Other Guys,13.508,2010-08-06,the other guys,6.2,2187
23168,en,The Town,13.476,2010-09-17,the town,7.1,2386
20533,en,Jonah Hex,13.467,2010-06-18,jonah hex,4.6,708
20526,en,TRON: Legacy,13.459,2010-12-10,tron legacy,6.3,4387
9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,prince of persia the sands of time,6.2,4040
9994,en,The Great Mouse Detective,13.348,1986-07-02,the great mouse detective,7.1,769
7980,en,The Lovely Bones,13.285,2010-01-15,the lovely bones,6.8,2226
705,en,All About Eve,13.163,2000-10-06,all about eve,8.2,685
44264,en,True Grit,13.118,2010-12-22,true grit,7.2,2816
43947,en,I Spit on Your Grave,13.102,2010-10-08,i spit on your grave,6.3,977
23483,en,Kick-Ass,13.08,2010-04-16,kickass,7.1,7540
51888,en,Robot Chicken: Star Wars Episode III,13.062,2010-12-19,robot chicken star wars episode iii,7.5,60
27576,en,Salt,13.025,2010-07-23,salt,6.3,3240
47626,en,Legend of the BoneKnapper Dragon,13.013,2010-10-15,legend of the boneknapper dragon,6.4,116
26389,en,From Paris with Love,12.862,2010-02-05,from paris with love,6.2,1075
40662,en,Batman: Under the Red Hood,12.704,2010-07-27,batman under the red hood,7.7,756
42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,arthur 3 the war of the two worlds,5.6,865
23023,en,Tooth Fairy,12.65,2010-01-22,tooth fairy,5.3,1058
23631,en,Machete,12.557,2010-09-03,machete,6.3,1862
25376,es,El secreto de sus ojos,12.531,2010-04-16,the secret in their eyes,7.9,1141
35056,en,Date Night,12.498,2010-04-08,date night,6.0,1743
41733,en,Due Date,12.445,2010-11-04,due date,6.3,2973
31867,en,Repo Men,12.437,2010-03-19,repo men,6.2,976
43641,en,Superman/Shazam!: The Return of Black Adam,12.395,2010-11-09,supermanshazam the return of black adam,7.1,140
28874,ja,サマーウォーズ,12.275,2010-10-13,summer wars,7.5,447
38575,en,The Karate Kid,12.256,2010-06-10,the karate kid,6.3,3140
33217,en,Diary of a Wimpy Kid,12.256,2010-03-19,diary of a wimpy kid,6.0,736
29427,en,The Crazies,12.246,2010-02-26,the crazies,6.2,1036
33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,the girl who kicked the hornets nest,7.0,705
39451,en,Little Fockers,12.153,2010-12-21,little fockers,5.6,1883
39514,en,RED,12.082,2010-10-14,red,6.6,4162
22971,en,Dear John,12.048,2010-02-04,dear john,6.8,2676
22894,en,Legion,12.032,2010-01-22,legion,5.3,1154
37933,ja,ゲド戦記,12.005,2010-08-13,tales from earthsea,6.6,502
25195,en,Leap Year,11.821,2010-01-08,leap year,6.7,990
38408,en,Life As We Know It,11.806,2010-10-02,life as we know it,6.8,1748
24253,sv,Flickan som lekte med elden,11.655,2010-07-09,the girl who played with fire,7.0,881
38363,en,Fair Game,11.624,2010-05-20,fair game,6.6,384
44244,en,Camp Rock 2: The Final Jam,11.542,2010-09-03,camp rock 2 the final jam,6.1,878
22972,en,Green Zone,11.519,2010-03-11,green zone,6.4,1176
